hero_names,Powers
Evil Deadpool,"Agility,Accelerated Healing,Dimensional Awareness,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers,Teleportation,Immortality,Reflexes,Regeneration,Toxin and Disease Resistance,Telepathy Resistance,Mind Control Resistance"
Evilhawk,"Accelerated Healing,Durability,Flight,Super Strength,Energy Blasts,Weapon-based Powers,Force Fields,Power Suit,Vision - Telescopic,Vision - Infrared"
Exodus,"Accelerated Healing,Flight,Telepathy,Energy Blasts,Teleportation,Telekinesis,Astral Projection,Psionic Powers,Mind Blast,Regeneration,Illusions,Resurrection"
Fabian Cortez,Power Augmentation
Falcon,"Flight,Telepathy,Animal Oriented Powers,Gliding"
Fallen One II,"Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed,Darkforce Manipulation,Enhanced Senses,Phasing,Invulnerability,Self-Sustenance,Gravity Control,Energy Manipulation,Time Travel,Illusions"
Faora,"Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Invulnerability,Enhanced Hearing,Hypnokinesis,Vision - Telescopic,Vision - Microscopic,Super Breath,Vision - Heat,Vision - X-Ray"
Feral,"Agility,Accelerated Healing,Super Strength,Super Speed,Animal Oriented Powers,Enhanced Senses,Jump,Reflexes,Natural Weapons"
Fighting Spirit,"Flight,Super Strength,Invulnerability"
Fin Fang Foom,"Accelerated Healing,Durability,Flight,Longevity,Super Strength,Telepathy,Stamina,Possession,Shapeshifting,Substance Secretion"
Fire,"Flight,Fire Control,Intangibility"
Firebird,"Flight,Energy Blasts,Immortality,Fire Control,Fire Resistance,Energy Manipulation,Heat Resistance"
Firelord,"Durability,Flight,Energy Blasts,Fire Control,Energy Manipulation,Heat Resistance"
Firestar,"Flight,Energy Blasts,Enhanced Senses,Heat Generation,Energy Manipulation,Energy Resistance"
Firestorm,"Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Density Control,Shapeshifting,Phasing,Fire Control,Enhanced Memory,Energy Constructs,Self-Sustenance,Psionic Powers,Molecular Manipulation,Heat Generation,Regeneration,Energy Manipulation,Heat Resistance,Vision - Telescopic,Vision - Microscopic,Vision - X-Ray,Vision - Thermal"
Flash,"Accelerated Healing,Energy Absorption,Flight,Longevity,Stamina,Super Speed,Enhanced Senses,Phasing,Reflexes,Energy Constructs,Self-Sustenance"
Flash Gordon,Marksmanship
Flash II,"Agility,Accelerated Healing,Energy Absorption,Flight,Longevity,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Phasing,Reflexes,Energy Constructs,Self-Sustenance,Time Travel,Speed Force"
Flash III,"Accelerated Healing,Flight,Longevity,Super Strength,Stamina,Super Speed,Enhanced Senses,Dimensional Travel,Phasing,Reflexes,Energy Constructs,Self-Sustenance,Power Absorption,Time Travel"
Flash IV,"Accelerated Healing,Super Speed,Dimensional Travel,Enhanced Memory,Reflexes,Energy Constructs,Time Travel"
Forge,"Intelligence,Magic"
Franklin Richards,"Agility,Dimensional Awareness,Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Stamina,Super Speed,Teleportation,Telekinesis,Immortality,Astral Projection,Invulnerability,Force Fields,Animation,Precognition,Molecular Manipulation,Energy Manipulation,Time Travel,Illusions,Omnipotent,Telepathy Resistance,Time Manipulation,Grim Reaping,Reality Warping"
Frenzy,"Cold Resistance,Super Strength,Stamina,Invulnerability,Heat Resistance"
Frigga,"Super Strength,Magic"
Galactus,"Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed,Teleportation,Telekinesis,Energy Beams,Dimensional Travel,Immortality,Invulnerability,Force Fields,Psionic Powers,Molecular Manipulation,Regeneration,Levitation,Energy Manipulation,Power Cosmic,Toxin and Disease Resistance,Portal Creation,Grim Reaping,Resurrection,Vitakinesis"
Gambit,"Agility,Telekinesis,Psionic Powers,Energy Manipulation,Telepathy Resistance"
Gamora,"Agility,Accelerated Healing,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Reflexes,Telepathy Resistance"
Garbage Man,Accelerated Healing
Gary Bell,"Intelligence,Enhanced Senses"
General Zod,"Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Invulnerability,Enhanced Hearing,Hypnokinesis,Vision - Telescopic,Vision - Microscopic,Super Breath,Vision - Heat,Vision - X-Ray"
Genesis,"Projection,Psionic Powers"
Ghost Rider,"Agility,Accelerated Healing,Durability,Marksmanship,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Weapon-based Powers,Magic,Shapeshifting,Fire Control,Invulnerability,Psionic Powers,Fire Resistance,Heat Generation,Heat Resistance,Magic Resistance"
Ghost Rider II,"Durability,Super Strength,Fire Control,Fire Resistance,Heat Resistance"
Giganta,"Durability,Intelligence,Super Strength,Size Changing"
Gladiator,"Agility,Accelerated Healing,Flight,Longevity,Super Strength,Stamina,Super Speed,Reflexes,Invulnerability,Enhanced Hearing,Enhanced Smell,Telepathy Resistance,Vision - Microscopic,Super Breath,Vision - Heat"
Goblin Queen,"Telepathy,Telekinesis,Summoning"
Godzilla,"Agility,Durability,Energy Absorption,Danger Sense,Longevity,Super Strength,Energy Blasts,Stamina,Energy Beams,Immortality,Invulnerability,Enhanced Hearing,Natural Armor,Enhanced Sight,Heat Resistance,Natural Weapons,Enhanced Smell,Sub-Mariner"
Gog,"Agility,Super Strength,Natural Weapons"
Goku,"Agility,Accelerated Healing,Flight,Danger Sense,Marksmanship,Weapons Master,Longevity,Super Strength,Telepathy,Energy Blasts,Duplication,Stamina,Super Speed,Electrokinesis,Teleportation,Jump,Shapeshifting,Immortality,Invulnerability,Energy Constructs,Force Fields,Levitation,Energy Manipulation,Enhanced Smell,Radar Sense"
Goliath IV,"Super Strength,Size Changing"
Gorilla Grodd,"Agility,Durability,Animal Attributes,Intelligence,Super Strength,Telepathy,Energy Blasts,Telekinesis,Mind Control,Enhanced Hearing,Animal Control,Molecular Manipulation,Natural Weapons"
Granny Goodness,"Durability,Super Strength"
Gravity,"Flight,Energy Blasts,Force Fields,Molecular Manipulation,Gravity Control"
Greedo,Weapons Master
Green Arrow,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Peak Human Condition"
Green Goblin,"Agility,Accelerated Healing,Durability,Marksmanship,Intelligence,Super Strength,Stamina,Super Speed,Reflexes,Insanity"
Green Goblin II,"Accelerated Healing,Durability,Intelligence,Super Strength,Stamina,Super Speed,Reflexes,Insanity"
Green Goblin III,"Durability,Super Strength"
Green Goblin IV,"Durability,Super Strength"
Groot,"Durability,Longevity,Intelligence,Super Strength,Duplication,Size Changing,Stamina,Invulnerability,Fire Resistance,Regeneration,Plant Control,Matter Absorption,Resurrection"
Guy Gardner,"Lantern Power Ring,Durability,Flight,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed,Energy Beams,Reflexes,Energy Constructs,Force Fields"
Hal Jordan,"Agility,Lantern Power Ring,Flight,Marksmanship,Weapons Master,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed,Weapon-based Powers,Energy Beams,Reflexes,Energy Constructs,Force Fields"
Han Solo,"Agility,Stealth,Marksmanship,Weapons Master,Stamina"
Hancock,"Agility,Accelerated Healing,Durability,Flight,Super Strength,Stamina,Super Speed,Immortality,Reflexes,Invulnerability,Toxin and Disease Resistance"
Harley Quinn,"Agility,Accelerated Healing,Stealth,Marksmanship,Intelligence,Super Strength,Stamina,Peak Human Condition,Reflexes,Toxin and Disease Resistance"
Harry Potter,"Agility,Accelerated Healing,Stealth,Intelligence,Telepathy,Energy Blasts,Stamina,Teleportation,Telekinesis,Magic,Shapeshifting,Energy Constructs,Force Fields,Hypnokinesis,Animal Control,Illusions,Invisibility,Reality Warping"
Havok,"Energy Absorption,Flight,Energy Blasts,Power Suit,Heat Resistance,Radiation Immunity"
Hawk,"Accelerated Healing,Flight,Super Strength,Stamina,Super Speed,Invulnerability,Natural Weapons"
Hawkeye,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Peak Human Condition"
Hawkeye II,"Weapons Master,Stamina,Enhanced Memory,Photographic Reflexes"
Hawkgirl,"Accelerated Healing,Cold Resistance,Durability,Flight,Super Strength,Immortality,Reflexes,Vision - Telescopic"
Hawkman,Animal Oriented Powers
Heat Wave,Weapon-based Powers
Hela,"Agility,Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed,Death Touch,Teleportation,Magic,Astral Projection,Invulnerability,Enhanced Hearing,Enhanced Sight,Illusions,Omnilingualism"
Hellboy,"Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Stamina,Enhanced Senses,Magic,Invulnerability,Fire Resistance,Enhanced Sight,Heat Resistance,Grim Reaping"
Hellcat,"Agility,Danger Sense,Intelligence,Super Strength,Peak Human Condition,Natural Weapons,Magic Resistance"
Hellgramite,"Durability,Animal Attributes,Super Strength,Animal Oriented Powers,Jump,Substance Secretion,Natural Armor,Natural Weapons,Wallcrawling,Web Creation"
Hellstorm,"Accelerated Healing,Flight,Energy Blasts,Teleportation,Magic,Fire Control,Time Travel"
Hercules,"Accelerated Healing,Durability,Longevity,Super Strength,Stamina,Super Speed,Immortality,Invulnerability"
Hiro Nakamura,"Teleportation,Time Travel"
Hit-Girl,"Agility,Stealth,Intelligence,Stamina,Weapon-based Powers,Reflexes"
Hobgoblin,"Super Strength,Stamina,Super Speed,Reflexes"
Hollow,"Durability,Natural Weapons,Telepathy Resistance"
Hope Summers,"Energy Absorption,Telepathy,Energy Blasts,Telekinesis,Power Absorption,Natural Armor,Vision - Heat"
Hulk,"Agility,Accelerated Healing,Cold Resistance,Durability,Longevity,Super Strength,Stamina,Super Speed,Jump,Reflexes,Invulnerability,Self-Sustenance,Heat Resistance,Radiation Immunity,Toxin and Disease Resistance,Mind Control Resistance,Radiation Absorption,Super Breath"
Human Torch,"Agility,Energy Absorption,Flight,Marksmanship,Energy Blasts,Super Speed,Fire Control,Fire Resistance,Heat Generation,Heat Resistance,Super Breath"
Huntress,"Marksmanship,Peak Human Condition"
Husk,"Durability,Super Strength,Density Control,Super Speed,Shapeshifting,Molecular Manipulation"
Hybrid,"Agility,Accelerated Healing,Durability,Stealth,Flight,Danger Sense,Marksmanship,Super Strength,Stamina,Super Speed,Jump,Shapeshifting,Camouflage,Reflexes,Substance Secretion,Natural Armor,Gliding,Natural Weapons,Wallcrawling,Matter Absorption,Web Creation,Symbiote Costume"
Hydro-Man,"Underwater breathing,Size Changing,Shapeshifting,Invulnerability,Psionic Powers,Natural Weapons,Water Control"
Hyperion,"Agility,Durability,Flight,Longevity,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Senses,Energy Beams,Invulnerability,Enhanced Hearing,Enhanced Sight,Vision - Microscopic,Super Breath,Vision - Infrared,Vision - Heat,Vision - X-Ray"
Iceman,"Agility,Accelerated Healing,Cold Resistance,Durability,Marksmanship,Super Strength,Cryokinesis,Energy Blasts,Duplication,Size Changing,Stamina,Invulnerability,Elemental Transmogrification,Heat Generation,Water Control,Vision - Thermal"
Impulse,"Accelerated Healing,Flight,Longevity,Stamina,Super Speed,Enhanced Senses,Phasing,Enhanced Memory,Energy Constructs,Enhanced Hearing,Enhanced Smell,Enhanced Touch"
Indiana Jones,"Intelligence,Stamina,Reflexes"
Indigo,"Lantern Power Ring,Flight,Intelligence,Teleportation,Energy Constructs,Force Fields"
Ink,"Accelerated Healing,Flight,Super Strength,Telepathy,Toxin and Disease Control,Molecular Combustion,Vitakinesis"
Invisible Woman,"Stealth,Intelligence,Energy Constructs,Force Fields,Psionic Powers,Levitation,Invisibility"
Iron Fist,"Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Danger Sense,Weapons Master,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Enhanced Senses,Peak Human Condition,Reflexes,Empathy,Psionic Powers,Heat Resistance,Illusions,Toxin and Disease Resistance,Magic Resistance"
Iron Man,"Accelerated Healing,Durability,Energy Absorption,Flight,Underwater breathing,Marksmanship,Super Strength,Energy Blasts,Stamina,Super Speed,Weapon-based Powers,Energy Beams,Reflexes,Force Fields,Power Suit,Radiation Immunity,Vision - Telescopic,Magnetism,Invisibility,Vision - Night,Vision - Thermal"
Iron Monger,"Durability,Flight,Intelligence,Super Strength,Energy Beams"
Isis,"Accelerated Healing,Durability,Flight,Intelligence,Super Strength,Stamina,Super Speed,Telekinesis,Element Control,Plant Control"
JJ Powell,Intelligence
Jack of Hearts,"Accelerated Healing,Cold Resistance,Durability,Flight,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed,Heat Resistance"
Jack-Jack,"Agility,Flight,Super Strength,Density Control,Super Speed,Teleportation,Enhanced Senses,Telekinesis,Shapeshifting,Phasing,Invulnerability,Substance Secretion,Intangibility,Molecular Manipulation,Heat Generation,Levitation,Vision - Heat,Vision - X-Ray"
James Bond,"Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Reflexes"
James T. Kirk,"Stealth,Marksmanship,Weapons Master,Intelligence,Stamina"
Jar Jar Binks,"Agility,Stealth,Enhanced Smell,Sub-Mariner"
Jason Bourne,"Agility,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Reflexes"
Jean Grey,"Energy Absorption,Telepathy,Telekinesis,Astral Projection,Force Fields,Psionic Powers,Mind Control,Mind Blast,Levitation,Energy Manipulation,Illusions,Telepathy Resistance"
Jean-Luc Picard,"Marksmanship,Intelligence,Omnilingualism"
Jennifer Kale,"Magic,Force Fields,Portal Creation"
Jessica Cruz,"Agility,Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Armor,Energy Blasts,Stamina,Super Speed,Energy Beams,Reflexes,Energy Constructs,Force Fields"
Jessica Jones,"Durability,Flight,Super Strength,Super Speed,Telepathy Resistance"
Jim Powell,"Durability,Super Strength,Jump"
Johann Krauss,"Telepathy,Self-Sustenance"
John Constantine,"Accelerated Healing,Magic,Summoning,Illusions,Telepathy Resistance"
John Stewart,"Lantern Power Ring,Durability,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Energy Armor,Energy Blasts,Super Speed,Energy Beams,Energy Constructs,Force Fields,Energy Manipulation"
John Wraith,"Longevity,Teleportation,Psionic Powers"
Joker,"Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Insanity,Toxin and Disease Resistance"
Jolt,"Super Strength,Energy Blasts,Super Speed,Reflexes"
Jubilee,"Energy Absorption,Energy Blasts,Energy Manipulation"
Judge Dredd,"Agility,Marksmanship,Weapons Master,Stamina,Weapon-based Powers,Peak Human Condition,Reflexes,Enhanced Sight,Vision - Telescopic,Vision - Night"
Juggernaut,"Accelerated Healing,Durability,Super Strength,Stamina,Super Speed,Invulnerability,Force Fields,Self-Sustenance,Toxin and Disease Resistance"
Junkpile,"Durability,Super Strength,Stamina,Telekinesis,Invulnerability,Regeneration,Magnetism"
Justice,"Flight,Energy Blasts,Super Speed,Telekinesis,Force Fields,Psionic Powers"
K-2SO,"Durability,Marksmanship,Stamina,Natural Armor"
Kang,"Durability,Longevity,Super Strength,Energy Blasts,Electrokinesis,Force Fields,Anti-Gravity,Levitation,Time Travel"
Karate Kid,"Agility,Stealth,Flight,Weapons Master,Intelligence,Super Strength,Super Speed,Reflexes,Mind Control Resistance"
Kathryn Janeway,Intelligence
Katniss Everdeen,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Reflexes"
Kevin 11,"Agility,Accelerated Healing,Energy Absorption,Flight,Super Strength,Density Control,Stamina,Super Speed,Shapeshifting,Power Absorption,Molecular Manipulation,Matter Absorption"
Kick-Ass,"Agility,Durability,Stamina,Weapon-based Powers"
Kid Flash,"Accelerated Healing,Super Speed"
Killer Croc,"Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed,Enhanced Senses,Reflexes,Enhanced Hearing,Natural Armor,Natural Weapons,Enhanced Smell,Sub-Mariner"
Killer Frost,"Cold Resistance,Durability,Energy Absorption,Cryokinesis,Natural Weapons,Super Breath"
Kilowog,"Accelerated Healing,Lantern Power Ring,Durability,Underwater breathing,Super Strength,Telepathy,Stamina"
King Kong,"Agility,Durability,Stealth,Longevity,Super Strength,Stamina,Super Speed,Jump,Reflexes,Enhanced Hearing,Natural Weapons,Enhanced Smell"
King Shark,"Cold Resistance,Durability,Stealth,Underwater breathing,Animal Attributes,Longevity,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Invulnerability,Natural Armor,Enhanced Sight,Regeneration,Natural Weapons,Enhanced Smell,Sub-Mariner,Radar Sense"
Klaw,"Durability,Super Strength,Energy Blasts,Audio Control,Invulnerability,Self-Sustenance,Telepathy Resistance"
Kool-Aid Man,"Durability,Thirstokinesis"
Kraven II,"Agility,Accelerated Healing,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses"
Kraven the Hunter,"Agility,Longevity,Super Strength,Stamina,Super Speed,Reflexes"
Krypto,"Accelerated Healing,Flight,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Invulnerability,Enhanced Hearing,Vision - Telescopic,Vision - Microscopic,Super Breath,Vision - Infrared,Vision - Heat,Vision - X-Ray"
Kyle Rayner,"Lantern Power Ring,Flight,Marksmanship,Super Strength,Energy Blasts,Super Speed,Energy Beams,Energy Constructs,Force Fields,Empathy,Energy Manipulation,Omnilingualism"
Kylo Ren,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Super Strength,Telepathy,Energy Blasts,Super Speed,Enhanced Senses,Telekinesis,Jump,Reflexes,Force Fields,Psionic Powers,Precognition,Hypnokinesis,Light Control,Illusions,The Force"
Lady Bullseye,Marksmanship
Lady Deathstrike,"Agility,Accelerated Healing,Durability,Stealth,Intelligence,Super Strength,Stamina,Super Speed,Reflexes,Technopath/Cyberpath,Natural Weapons"
Lara Croft,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Reflexes,Omnilingualism"
Leader,"Intelligence,Telepathy,Telekinesis"
Leech,Power Nullifier
Legion,"Agility,Accelerated Healing,Stealth,Flight,Super Strength,Telepathy,Duplication,Stamina,Super Speed,Animal Oriented Powers,Teleportation,Telekinesis,Shapeshifting,Astral Projection,Fire Control,Force Fields,Power Nullifier,Psionic Powers,Power Absorption,Molecular Manipulation,Adaptation,Mind Blast,Levitation,Time Travel,Time Manipulation,Reality Warping"
Leonardo,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina,Jump,Reflexes,Natural Armor,Sub-Mariner"
Lex Luthor,"Durability,Flight,Weapons Master,Intelligence,Super Strength,Energy Blasts,Energy Beams,Energy Constructs,Force Fields,Power Suit"
Light Lass,"Flight,Electrokinesis,Gravity Control"
Lightning Lad,Electrokinesis
Lightning Lord,"Energy Absorption,Electrokinesis"
Little Epic,Super Speed
Living Brain,"Durability,Flight,Intelligence,Super Strength"
Living Tribunal,"Agility,Accelerated Healing,Dimensional Awareness,Stealth,Energy Absorption,Flight,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed,Death Touch,Telekinesis,Energy Beams,Dimensional Travel,Immortality,Astral Projection,Fire Control,Invulnerability,Energy Constructs,Force Fields,Probability Manipulation,Gravity Control,Light Control,Energy Manipulation,Time Travel,Illusions,Omnipotent,Energy Resistance,Magnetism,Time Manipulation,Invisibility,Matter Absorption,Reality Warping"
Liz Sherman,Fire Control
Lizard,"Durability,Animal Attributes,Super Strength,Telepathy,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses,Jump,Reflexes,Natural Armor,Regeneration,Natural Weapons,Wallcrawling"
Lobo,"Durability,Longevity,Intelligence,Super Strength,Duplication,Stamina,Enhanced Senses,Immortality,Invulnerability,Self-Sustenance,Regeneration,Toxin and Disease Resistance,Omnilingualism"
Loki,"Accelerated Healing,Durability,Flight,Longevity,Intelligence,Super Strength,Stamina,Energy Beams,Magic,Shapeshifting,Psionic Powers,Toxin and Disease Resistance,Omnilingualism,Portal Creation"
Longshot,"Agility,Telepathy,Stamina,Super Speed,Reflexes,Psionic Powers,Probability Manipulation"
Lord Voldemort,"Accelerated Healing,Stealth,Flight,Intelligence,Telepathy,Energy Blasts,Possession,Darkforce Manipulation,Teleportation,Magic,Shapeshifting,Fire Control,Invulnerability,Energy Constructs,Force Fields,Animal Control,Levitation,Toxin and Disease Control,Plant Control,Resurrection,Weather Control,Reality Warping"
Luke Cage,"Accelerated Healing,Durability,Super Strength,Stamina,Jump,Invulnerability"
Luke Campbell,Radiation Control
Luke Skywalker,"Agility,Accelerated Healing,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy,Energy Blasts,Super Speed,Enhanced Senses,Telekinesis,Jump,Astral Projection,Reflexes,Force Fields,Empathy,Psionic Powers,Precognition,Enhanced Hearing,Hypnokinesis,Light Control,Illusions,Cloaking,The Force"
Luna,Psionic Powers
Lyja,"Energy Blasts,Size Changing,Shapeshifting"
MODOK,"Agility,Flight,Weapons Master,Longevity,Intelligence,Telepathy,Energy Blasts,Telekinesis,Force Fields,Empathy,Psionic Powers,Technopath/Cyberpath,Heat Generation,Levitation,Illusions"
Mach-IV,"Durability,Flight,Super Strength,Super Speed,Weapon-based Powers"
Machine Man,"Durability,Flight,Super Strength,Stamina,Weapon-based Powers"
Magneto,"Durability,Flight,Intelligence,Super Strength,Stamina,Enhanced Senses,Energy Beams,Force Fields,Telepathy Resistance,Magnetism"
Magog,"Durability,Super Strength,Energy Blasts,Energy Beams"
Magus,"Energy Absorption,Flight,Super Strength,Size Changing,Electrokinesis,Shapeshifting,Immortality,Elasticity,Technopath/Cyberpath,Omnilingualism"
Man of Miracles,"Accelerated Healing,Dimensional Awareness,Energy Absorption,Danger Sense,Longevity,Intelligence,Super Strength,Telepathy,Super Speed,Teleportation,Telekinesis,Magic,Immortality,Element Control,Phasing,Astral Projection,Invulnerability,Energy Constructs,Precognition,Enhanced Hearing,Enhanced Sight,Molecular Manipulation,Adaptation,Probability Manipulation,Gravity Control,Energy Manipulation,Time Travel,Enhanced Smell,Omnipotent,Omnilingualism,Time Manipulation,Reality Warping,Omnipresent,Omniscient"
Man-Bat,"Agility,Flight,Animal Attributes,Super Strength,Super Speed,Animal Oriented Powers,Shapeshifting,Reflexes,Enhanced Hearing,Echolocation,Natural Weapons"
Man-Thing,"Durability,Stealth,Underwater breathing,Super Strength,Immortality,Invulnerability,Empathy,Substance Secretion,Toxin and Disease Control,Natural Weapons,Toxin and Disease Resistance"
Man-Wolf,"Agility,Accelerated Healing,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses,Enhanced Hearing,Vision - Thermal"
Mandarin,"Weapons Master,Intelligence,Cryokinesis,Energy Blasts,Weapon-based Powers,Electrokinesis,Energy Beams,Self-Sustenance,Mind Control,Molecular Manipulation,Levitation"
Mantis,"Accelerated Healing,Durability,Flight,Longevity,Intelligence,Telepathy,Telekinesis,Astral Projection,Fire Control,Empathy,Precognition,Regeneration,Telepathy Resistance,Plant Control"
Martian Manhunter,"Agility,Durability,Stealth,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Size Changing,Stamina,Super Speed,Enhanced Senses,Telekinesis,Shapeshifting,Phasing,Astral Projection,Reflexes,Invulnerability,Self-Sustenance,Mind Control,Enhanced Hearing,Intangibility,Regeneration,Illusions,Vision - Telescopic,Toxin and Disease Resistance,Telepathy Resistance,Invisibility,Vision - Microscopic,Super Breath,Vision - Night,Vision - Infrared,Vision - Heat,Vision - X-Ray,Vision - Thermal"
Marvel Girl,"Energy Absorption,Flight,Telepathy,Energy Blasts,Telekinesis,Astral Projection,Fire Control,Force Fields,Psionic Powers,Energy Manipulation,Time Travel"
Master Brood,"Accelerated Healing,Longevity,Immortality"
Master Chief,"Agility,Accelerated Healing,Durability,Marksmanship,Longevity,Stamina,Super Speed,Weapon-based Powers,Enhanced Senses,Camouflage,Force Fields"
Match,"Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed,Telekinesis,Jump,Invulnerability,Enhanced Hearing,Vision - Telescopic,Super Breath,Vision - Heat,Vision - X-Ray"
Matt Parkman,Telepathy
Maverick,Electrokinesis
Maxima,"Durability,Flight,Super Strength,Stamina,Super Speed,Telekinesis,Force Fields,Psionic Powers,Mind Control,Mind Blast"
Maya Herrera,"Substance Secretion,Toxin and Disease Control"
Medusa,"Durability,Super Strength,Stamina,Super Speed,Telekinesis,Reflexes,Hair Manipulation"
Meltdown,"Agility,Energy Absorption,Energy Blasts,Energy Beams,Energy Constructs,Psionic Powers,Energy Manipulation"
Mephisto,"Accelerated Healing,Dimensional Awareness,Durability,Longevity,Super Strength,Energy Blasts,Stamina,Super Speed,Magic,Dimensional Travel,Shapeshifting,Immortality,Astral Projection,Self-Sustenance,Molecular Manipulation,Illusions,Toxin and Disease Resistance"
Mera,"Cold Resistance,Durability,Stealth,Underwater breathing,Super Strength,Telepathy,Super Speed,Jump,Dimensional Travel,Reflexes,Enhanced Hearing,Water Control,Sub-Mariner,Vision - Night"
Metallo,"Durability,Super Strength,Size Changing,Stamina,Energy Beams,Shapeshifting,Radiation Control,Technopath/Cyberpath,Regeneration"
Metamorpho,"Shapeshifting,Elemental Transmogrification,Natural Armor,Natural Weapons"
Metron,"Flight,Longevity,Intelligence,Teleportation,Time Travel"
Micah Sanders,Technopath/Cyberpath
Michelangelo,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina,Jump,Reflexes,Natural Armor,Sub-Mariner"
Micro Lad,Size Changing
Mimic,"Durability,Flight,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Telekinesis,Reflexes,Gliding"
Minna Murray,"Durability,Super Strength,Super Speed,Jump,Immortality"
Misfit,"Accelerated Healing,Super Strength,Teleportation"
Miss Martian,"Accelerated Healing,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Density Control,Stamina,Super Speed,Telekinesis,Shapeshifting,Invulnerability,Force Fields,Self-Sustenance,Invisibility,Vision - X-Ray"
Mister Fantastic,"Durability,Intelligence,Size Changing,Shapeshifting,Elasticity"
Mister Freeze,"Cold Resistance,Durability,Longevity,Intelligence,Super Strength,Power Suit"
Mister Knife,"Weapons Master,Intelligence"
Mister Mxyzptlk,"Agility,Accelerated Healing,Dimensional Awareness,Flight,Longevity,Intelligence,Cryokinesis,Energy Blasts,Duplication,Density Control,Teleportation,Telekinesis,Magic,Dimensional Travel,Shapeshifting,Immortality,Phasing,Astral Projection,Fire Control,Invulnerability,Energy Constructs,Force Fields,Elasticity,Animation,Molecular Manipulation,Gravity Control,Levitation,Time Travel,Time Manipulation,Weather Control,Reality Warping"
Mister Sinister,"Accelerated Healing,Durability,Flight,Animal Attributes,Longevity,Intelligence,Super Strength,Telepathy,Energy Blasts,Duplication,Size Changing,Stamina,Super Speed,Animal Oriented Powers,Teleportation,Telekinesis,Shapeshifting,Reflexes,Force Fields,Self-Sustenance,Power Nullifier,Mind Control,Molecular Manipulation,Mind Blast"
Mockingbird,"Agility,Accelerated Healing,Durability,Stealth,Weapons Master,Longevity,Super Strength"
Mohinder Suresh,Super Strength
Molten Man,"Durability,Super Strength,Heat Generation,Heat Resistance"
Monarch,"Flight,Super Strength,Invulnerability,Force Fields,Self-Sustenance,Technopath/Cyberpath,Time Travel"
Monica Dawson,Photographic Reflexes
Moon Knight,"Marksmanship,Weapons Master,Super Strength,Stamina,Reflexes,Telepathy Resistance"
